TimeMeasure,Potency,Voltage,Charge,Temperature,Misc01
2020-01-11 22:50:22.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:50:24.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:50:25.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:50:27.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:50:29.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:50:31.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:50:32.0,0.0,131.0,0.0,22.0,52.0
2020-01-11 22:50:34.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:50:36.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:50:38.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:50:39.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:50:41.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:50:43.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:50:44.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:50:46.0,0.0,126.0,0.0,22.0,52.0
2020-01-11 22:50:48.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:50:50.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:50:51.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:50:53.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:50:55.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:50:56.0,0.0,126.0,0.0,22.0,52.0
2020-01-11 22:50:58.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:51:00.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:51:02.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:51:03.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:51:05.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:51:07.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:51:09.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:51:10.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:51:13.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:51:14.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:51:16.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:51:18.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:51:20.0,0.0,125.0,0.0,22.0,52.0
2020-01-11 22:51:21.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:51:23.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:51:25.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:51:26.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:51:28.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:51:30.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:51:32.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:51:33.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:51:35.0,0.0,131.0,0.0,22.0,52.0
2020-01-11 22:51:37.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:51:39.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:51:40.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:51:42.0,0.0,132.0,0.0,22.0,52.0
2020-01-11 22:51:44.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:51:45.0,0.0,131.0,0.0,22.0,52.0
2020-01-11 22:51:47.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:51:49.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:51:51.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:51:52.0,0.0,126.0,0.0,22.0,52.0
2020-01-11 22:51:54.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:51:56.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:51:57.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:51:59.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:52:01.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:52:03.0,0.0,129.0,0.0,22.0,51.0
2020-01-11 22:52:04.0,0.0,127.0,0.0,22.0,51.0
2020-01-11 22:52:06.0,0.0,126.0,0.0,22.0,51.0
2020-01-11 22:52:08.0,0.0,127.0,0.0,22.0,51.0
2020-01-11 22:52:10.0,0.0,128.0,0.0,22.0,51.0
2020-01-11 22:52:11.0,0.0,129.0,0.0,22.0,51.0
2020-01-11 22:52:13.0,0.0,129.0,0.0,22.0,51.0
2020-01-11 22:52:14.0,0.0,131.0,0.0,22.0,51.0
2020-01-11 22:52:16.0,0.0,128.0,0.0,22.0,51.0
2020-01-11 22:52:18.0,0.0,129.0,0.0,22.0,51.0
2020-01-11 22:52:20.0,0.0,127.0,0.0,22.0,51.0
2020-01-11 22:52:21.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:52:23.0,0.0,127.0,0.0,22.0,51.0
2020-01-11 22:52:25.0,0.0,125.0,0.0,22.0,51.0
2020-01-11 22:52:27.0,0.0,128.0,0.0,22.0,51.0
2020-01-11 22:52:28.0,0.0,126.0,0.0,22.0,52.0
2020-01-11 22:52:30.0,0.0,128.0,0.0,22.0,51.0
2020-01-11 22:52:32.0,0.0,130.0,0.0,22.0,51.0
2020-01-11 22:52:33.0,0.0,128.0,0.0,22.0,51.0
2020-01-11 22:52:35.0,0.0,128.0,0.0,22.0,51.0
2020-01-11 22:52:37.0,0.0,128.0,0.0,22.0,51.0
2020-01-11 22:52:39.0,0.0,126.0,0.0,22.0,51.0
2020-01-11 22:52:40.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:52:42.0,0.0,128.0,0.0,22.0,51.0
2020-01-11 22:52:44.0,0.0,130.0,0.0,22.0,51.0
2020-01-11 22:52:46.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:52:47.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:52:49.0,0.0,128.0,0.0,22.0,51.0
2020-01-11 22:52:51.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:52:52.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:52:54.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:52:56.0,27.0,131.0,208.0,22.0,52.0
2020-01-11 22:52:58.0,31.0,126.0,251.0,22.0,52.0
2020-01-11 22:52:59.0,33.0,126.0,261.0,22.0,52.0
2020-01-11 22:53:01.0,26.0,128.0,208.0,22.0,52.0
2020-01-11 22:53:03.0,35.0,130.0,271.0,22.0,52.0
2020-01-11 22:53:04.0,39.0,128.0,308.0,22.0,52.0
2020-01-11 22:53:06.0,30.0,132.0,228.0,22.0,52.0
2020-01-11 22:53:08.0,28.0,126.0,225.0,22.0,52.0
2020-01-11 22:53:10.0,26.0,130.0,202.0,22.0,52.0
2020-01-11 22:53:11.0,20.0,130.0,155.0,22.0,52.0
2020-01-11 22:53:14.0,34.0,131.0,265.0,22.0,52.0
2020-01-11 22:53:15.0,27.0,130.0,212.0,22.0,52.0
2020-01-11 22:53:17.0,21.0,132.0,165.0,22.0,52.0
2020-01-11 22:53:19.0,34.0,128.0,265.0,22.0,52.0
2020-01-11 22:53:21.0,26.0,129.0,205.0,22.0,52.0
2020-01-11 22:53:22.0,35.0,129.0,271.0,22.0,52.0
2020-01-11 22:53:24.0,33.0,128.0,265.0,22.0,52.0
2020-01-11 22:53:26.0,24.0,130.0,188.0,22.0,52.0
2020-01-11 22:53:28.0,37.0,130.0,288.0,22.0,52.0
2020-01-11 22:53:29.0,27.0,132.0,208.0,22.0,52.0
2020-01-11 22:53:31.0,31.0,126.0,245.0,22.0,52.0
2020-01-11 22:53:33.0,31.0,129.0,245.0,22.0,52.0
2020-01-11 22:53:41.0,34.0,127.0,271.0,22.0,52.0
2020-01-11 22:53:41.0,34.0,127.0,271.0,22.0,52.0
2020-01-11 22:53:41.0,34.0,127.0,271.0,22.0,52.0
2020-01-11 22:53:41.0,34.0,127.0,271.0,22.0,52.0
2020-01-11 22:53:41.0,34.0,127.0,271.0,22.0,52.0
2020-01-11 22:53:43.0,28.0,132.0,212.0,22.0,52.0
2020-01-11 22:53:45.0,27.0,129.0,208.0,22.0,52.0
2020-01-11 22:53:47.0,38.0,130.0,295.0,22.0,52.0
2020-01-11 22:53:48.0,23.0,129.0,179.0,22.0,52.0
2020-01-11 22:53:50.0,34.0,132.0,258.0,22.0,52.0
2020-01-11 22:53:52.0,25.0,131.0,195.0,22.0,52.0
2020-01-11 22:53:53.0,33.0,125.0,265.0,22.0,52.0
2020-01-11 22:53:55.0,28.0,128.0,218.0,22.0,52.0
2020-01-11 22:53:57.0,27.0,129.0,215.0,22.0,52.0
2020-01-11 22:53:59.0,23.0,131.0,175.0,22.0,52.0
2020-01-11 22:54:00.0,28.0,132.0,215.0,22.0,52.0
2020-01-11 22:54:02.0,27.0,129.0,212.0,22.0,53.0
2020-01-11 22:54:04.0,28.0,129.0,222.0,22.0,52.0
2020-01-11 22:54:06.0,33.0,129.0,258.0,22.0,53.0
2020-01-11 22:54:07.0,30.0,128.0,235.0,22.0,52.0
2020-01-11 22:54:09.0,22.0,131.0,172.0,22.0,52.0
2020-01-11 22:54:11.0,27.0,132.0,208.0,22.0,52.0
2020-01-11 22:54:12.0,36.0,131.0,278.0,22.0,53.0
2020-01-11 22:54:15.0,26.0,130.0,205.0,22.0,52.0
2020-01-11 22:54:16.0,27.0,130.0,212.0,22.0,53.0
2020-01-11 22:54:18.0,26.0,129.0,202.0,22.0,53.0
2020-01-11 22:54:20.0,28.0,131.0,218.0,22.0,52.0
2020-01-11 22:54:21.0,16.0,130.0,129.0,22.0,52.0
2020-01-11 22:54:23.0,36.0,129.0,285.0,22.0,52.0
2020-01-11 22:54:25.0,27.0,131.0,208.0,22.0,52.0
2020-01-11 22:54:27.0,36.0,131.0,278.0,22.0,53.0
2020-01-11 22:54:28.0,27.0,130.0,212.0,22.0,52.0
2020-01-11 22:54:30.0,22.0,129.0,175.0,22.0,52.0
2020-01-11 22:54:32.0,20.0,128.0,159.0,22.0,52.0
2020-01-11 22:54:33.0,27.0,129.0,212.0,22.0,52.0
2020-01-11 22:54:35.0,28.0,128.0,222.0,22.0,52.0
2020-01-11 22:54:37.0,28.0,126.0,222.0,22.0,52.0
2020-01-11 22:54:39.0,32.0,129.0,248.0,22.0,52.0
2020-01-11 22:54:40.0,22.0,127.0,172.0,22.0,52.0
2020-01-11 22:54:42.0,31.0,128.0,245.0,22.0,52.0
2020-01-11 22:54:44.0,30.0,131.0,232.0,22.0,52.0
2020-01-11 22:54:46.0,34.0,131.0,265.0,22.0,52.0
2020-01-11 22:54:47.0,35.0,132.0,265.0,22.0,52.0
2020-01-11 22:54:49.0,21.0,132.0,165.0,22.0,52.0
2020-01-11 22:54:51.0,25.0,129.0,195.0,22.0,52.0
2020-01-11 22:54:52.0,26.0,125.0,208.0,22.0,52.0
2020-01-11 22:54:54.0,34.0,128.0,265.0,22.0,52.0
2020-01-11 22:54:56.0,21.0,126.0,165.0,22.0,52.0
